dataset,arquivo,nome_gab,exp_gab,erro,nome_app,exp_app,nome_ok,exp_capturadas,empresas_ok,cargos_ok
synth_filled,docx/047_gestor_de_propriedade_mariana_oliveira_monteiro.docx,Mariana Oliveira Monteiro,3,,Mariana Oliveira Monteiro,0,True,0,0,0
synth_filled,docx/049_curriculo_de_estagiarios_de_recursos_humanos_rafael_monteiro_freitas.docx,Rafael Monteiro Freitas,1,,Rafael Monteiro Freitas,2,True,1,1,1
synth_filled,docx/050_cv_de_janaporubska_gmail_com_igor_pereira_costa.docx,Igor Pereira Costa,2,,Igor Pereira Costa,5,True,2,2,2
synth_filled,docx/052_curriculo_da_pesquisa_igor_rodrigues_gomes.docx,Igor Rodrigues Gomes,3,,Igor Rodrigues Gomes,3,True,3,0,0
synth_filled,docx/053_representante_de_vendas_na_adidas_amostra_de_enzo_correia_moreira.docx,Enzo Correia Moreira,2,,Enzo Correia Moreira,2,True,2,1,2
synth_filled,docx/054_adidas_sales_representative_resume_template_vincius_ribeiro_nascimento.docx,Vinícius Ribeiro Nascimento,3,,Vinícius Ribeiro Nascimento,1,True,1,0,0
synth_filled,docx/055_gerente_de_vendas_de_localizacao_na_advantage_igor_ferreira_ribeiro.docx,Igor Ferreira Ribeiro,3,,Igor Ferreira Ribeiro,3,True,3,3,3
synth_filled,docx/056_curriculo_do_aequs_assistant_manager_rodrigo_pereira_ribeiro.docx,Rodrigo Pereira Ribeiro,3,,Rodrigo Pereira Ribeiro,3,True,3,2,3
synth_filled,docx/057_curriculo_do_engenheiro_de_design_aeromobil_beatriz_freitas_mendes.docx,Beatriz Freitas Mendes,3,,Eng. Beatriz Freitas Mendes MEc,4,True,3,3,0
synth_filled,docx/058_estagiario_de_engenharia_de_software_na_agile_igor_martins_carvalho.docx,Igor Martins Carvalho,2,,Ensino Médio com Habilitação Técnica em Informática,2,False,2,0,2
synth_filled,docx/059_curriculo_da_air_france_leonardo_macedo_moreira.docx,Leonardo Macedo Moreira,2,,Leonardo Macedo Moreira,1,True,1,0,0
synth_filled,docx/060_air_france_team_manager_retomar_amostra_de_cu_eduardo_martins_costa.docx,Eduardo Martins Costa,3,,Eduardo Martins Costa,3,True,3,0,0
synth_filled,docx/062_curriculo_de_desenvolvedor_movel_isabela_ribeiro_costa.docx,Isabela Ribeiro Costa,3,,Isabela Ribeiro Costa,4,True,3,0,1
synth_filled,docx/064_engenheiro_de_software_amostra_de_curriculo_c_joo_fernandes_ferreira.docx,João Fernandes Ferreira,3,,João Fernandes Ferreira,2,True,2,1,1
synth_filled,docx/065_engenheiro_de_produto_na_alten_resume_amostra_priscila_moreira_gomes.docx,Priscila Moreira Gomes,4,,PRISCILA MOREIRA GOMES,4,True,4,4,4
synth_filled,docx/066_curriculo_de_analista_de_dados_na_amazon_joo_macedo_pereira.docx,João Macedo Pereira,3,,João Macedo Pereira,2,True,2,2,2
synth_filled,docx/067_curriculo_de_analista_de_negocios_na_amazon_ana_teixeira_gomes.docx,Ana Teixeira Gomes,3,,Ana Teixeira Gomes,3,True,3,3,3
synth_filled,docx/068_engenheiro_de_desenvolvimento_de_software_na_priscila_martins_teixeira.docx,Priscila Martins Teixeira,3,,Priscila Martins Teixeira,3,True,3,3,2
synth_filled,docx/071_curriculo_do_engenheiro_de_desenvolvimento_de_otvio_vieira_mendes.docx,Otávio Vieira Mendes,4,,Otávio Vieira Mendes,4,True,4,2,4
synth_filled,docx/072_curriculo_do_gestor_de_desenvolvimento_de_neg_dbora_rodrigues_nascimento.docx,Débora Rodrigues Nascimento,3,,Débora Rodrigues Nascimento,3,True,3,1,3
synth_filled,docx/073_curriculo_do_administrador_da_amazon_systems_letcia_mendes_carvalho.docx,Letícia Mendes Carvalho,3,,Letícia Mendes Carvalho,4,True,3,3,3
synth_filled,docx/074_curriculo_de_gestor_de_programas_senior_helena_ferreira_martins.docx,Helena Ferreira Martins,4,,Helena Ferreira Martins,4,True,4,1,4
synth_filled,docx/076_curriculo_de_marketing_e_gestor_de_marca_lucas_fernandes_cavalcante.docx,Lucas Fernandes Cavalcante,2,,Lucas Fernandes Cavalcante,2,True,2,1,2
synth_filled,docx/077_curriculo_de_analista_de_negocios_junior_caio_moreira_macedo.docx,Caio Moreira Macedo,2,,Caio Moreira Macedo,3,True,2,0,0
synth_filled,docx/078_pesquisa_externa_na_american_foundation_for_s_daniel_costa_nogueira.docx,Daniel Costa Nogueira,8,,Daniel Costa Nogueira,8,True,8,8,8
synth_filled,docx/079_curriculo_americano_de_recursos_hidricos_patrcia_ribeiro_barbosa.docx,Patrícia Ribeiro Barbosa,2,,Patrícia Ribeiro Barbosa,3,True,2,1,1
synth_filled,docx/081_curriculo_de_analista_de_negocios_renata_cardoso_rodrigues.docx,Renata Cardoso Rodrigues,2,,Renata Cardoso Rodrigues,2,True,2,1,1
synth_filled,docx/082_curriculo_do_gestor_de_projecto_gabriel_almeida_souza.docx,Gabriel Almeida Souza,3,,Gabriel Almeida Souza,4,True,3,3,1
synth_filled,docx/083_director_de_desenvolvimento_comercial_na_appl_thiago_barbosa_carvalho.docx,Thiago Barbosa Carvalho,3,,Thiago Barbosa Carvalho,5,True,3,3,3
synth_filled,docx/084_curriculo_de_apoio_ao_cliente_apple_carolina_teixeira_martins.docx,Carolina Teixeira Martins,7,,Carolina Teixeira Martins,7,True,7,3,5
synth_filled,docx/085_inquerito_tatiane_pereira_mendes.docx,Tatiane Pereira Mendes,2,,Tatiane Pereira Mendes,2,True,2,0,1
synth_filled,docx/086_servico_de_apoio_ao_cliente_da_companhia_fina_letcia_nascimento_cardoso.docx,Letícia Nascimento Cardoso,3,,Letícia Nascimento Cardoso,3,True,3,3,3
synth_filled,docx/087_curriculo_de_especialista_em_seguranca_de_inf_letcia_monteiro_almeida.docx,Letícia Monteiro Almeida,2,,Letícia Monteiro Almeida,2,True,2,1,2
synth_filled,docx/089_diretor_de_marketing_na_tons_exemplo_de_curri_daniel_moreira_correia.docx,Daniel Moreira Correia,3,,Daniel Moreira Correia,2,True,2,0,0
synth_filled,docx/091_administrador_de_licencas_na_arvato_cv_amostr_gabriel_moreira_cavalcante.docx,Gabriel Moreira Cavalcante,3,,Gabriel Moreira Cavalcante,4,True,3,1,3
synth_filled,docx/098_curriculo_de_engenheiro_estrutural_vitria_costa_ribeiro.docx,Vitória Costa Ribeiro,1,,Vitória Costa Ribeiro,4,True,1,0,0
synth_filled,docx/099_inquerito_juliana_nascimento_gomes.docx,Juliana Nascimento Gomes,5,,Juliana Nascimento Gomes,5,True,5,5,5
synth_filled,docx/101_curriculo_do_assistente_de_ensino_de_licencia_sophia_monteiro_cavalcante.docx,Sophia Monteiro Cavalcante,4,,Sophia Monteiro Cavalcante,4,True,4,0,4
synth_filled,docx/102_curriculo_de_estagiario_de_contabilidade_fina_pedro_pinto_carvalho.docx,Pedro Pinto Carvalho,6,,Pedro Pinto Carvalho,7,True,6,6,6
synth_filled,docx/103_analista_de_marketing_senior_leonardo_lima_arajo.docx,Leonardo Lima Araújo,6,,Leonardo Lima Araújo,6,True,6,6,5
synth_filled,docx/115_desenvolvedor_full_stack_na_bizconnect_events_maria_nogueira_lima.docx,Maria Nogueira Lima,3,,Maria Nogueira Lima,3,True,3,3,2
synth_filled,docx/118_curriculo_do_assistente_executivo_do_grupo_bm_rafaela_almeida_ribeiro.docx,Rafaela Almeida Ribeiro,4,,Rafaela Almeida Ribeiro,4,True,4,4,4
synth_filled,docx/130_inquerito_thiago_teixeira_monteiro.docx,Thiago Teixeira Monteiro,3,,Thiago Teixeira Monteiro,3,True,3,3,3
synth_filled,docx/132_assistente_de_equilibrio_de_praia_na_uc_long_beatriz_fernandes_almeida.docx,Beatriz Fernandes Almeida,5,,Beatriz Fernandes Almeida,5,True,5,3,5
synth_filled,docx/136_director_criativo_na_cassette_monkeys_exemplo_gabriela_almeida_arajo.docx,Gabriela Almeida Araújo,3,,Gabriela Almeida Araújo,3,True,3,2,3
synth_filled,docx/26_dev_backend_lucas_vasconcelos.docx,Lucas Vasconcelos,3,,Lucas Vasconcelos,0,True,0,0,0
synth_filled,docx/27_garcom_davi_lucas_da_mota.docx,Davi Lucas da Mota,3,,DAVI LUCAS DA MOTA,4,True,3,3,3
synth_filled,docx/28_designer_grafico_camila_jesus.docx,Camila Jesus,3,,Camila Jesus,3,True,3,2,3
synth_filled,docx/29_conferente_logistica_luan_vasconcelos.docx,Luan Vasconcelos,2,,Luan Vasconcelos,2,True,2,2,2
synth_filled,docx/30_vendedor_loja_andre_monteiro_noaccent.docx,Andre Monteiro,2,,Andre Monteiro,2,True,2,2,2
synth_filled,docx/31_garcom_luana_souza.docx,Luana Souza,2,,Luana Souza,2,True,2,2,2
synth_filled,docx/32_recepcionista_hotel_ana_sophia_das_neves.docx,Ana Sophia das Neves,3,,Ana Sophia das Neves,3,True,3,3,3
synth_filled,docx/33_operador_maquina_maria_isis_da_paz.docx,Maria Isis da Paz,2,,MARIA ISIS DA PAZ,3,True,2,2,2
synth_filled,docx/34_repositor_maria_flor_cassiano.docx,Maria Flor Cassiano,2,,Maria Flor Cassiano,2,True,2,2,2
synth_filled,docx/35_enfermeiro_uti_rafaela_freitas_multiemail.docx,Rafaela Freitas,3,,Rafaela Freitas,3,True,3,3,3
synth_filled,docx/36_pedreiro_vitoria_lima.docx,Vitória Lima,3,,Vitória Lima,3,True,3,3,3
synth_filled,docx/37_tec_mecanico_ana_clara_porto.docx,Ana Clara Porto,3,,Ana Clara Porto,3,True,3,3,3
synth_filled,docx/38_analista_financeiro_lucas_da_mata.docx,Lucas da Mata,3,,Lucas da Mata,3,True,3,3,3
synth_filled,docx/39_eletricista_pedro_lucas_andrade.docx,Pedro Lucas Andrade,3,,PEDRO LUCAS ANDRADE,4,True,3,3,3
synth_filled,docx/40_devops_sra__aurora_rodrigues_upper.docx,SRA. AURORA RODRIGUES,3,,SRA. AURORA RODRIGUES,3,True,3,3,0
